runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0827T154124Z_zBBaBm,a9a,5,0.001,0.1,2,2,4096,1,1,512,0.3559009655547509,0.3559009655547509
0827T162236Z_iykzil,a9a,2,0.001,0.001,1,128,4096,1,1,512,0.5282238016533278,0.5282238016533278
0827T145218Z_3qcjOa,a9a,0,0.001,0.01,4,4,4096,1,1,512,0.4594347503366622,0.4594347503366622
0827T154211Z_DNiMde,a9a,5,0.001,10.0,2,64,4096,1,1,512,6.458293165024162,1.1451013886529824
0827T160004Z_wztBkp,a9a,0,0.001,1.0,1,64,4096,1,1,512,1.0677920576892523,0.9206310976213796
0827T154008Z_oBJhAu,a9a,5,0.001,0.5,1,4,4096,1,1,512,0.5804601497153012,0.5401189587482034
0827T154141Z_hnfuKS,a9a,5,0.001,0.5,2,32,4096,1,1,512,0.5226081007897344,0.5226081007897344
0827T155019Z_PZW0pa,a9a,5,0.001,1.0,256,1,4096,1,1,512,0.3420219553630741,0.3375694747439425
0827T154401Z_e2Tklt,a9a,5,0.001,0.005,8,32,4096,1,1,512,0.5605472372600716,0.5605472372600716
0827T154501Z_4vWInD,a9a,5,0.001,5.0,8,2,4096,1,1,512,1.7871757516884497,1.0538707623683183
0827T154812Z_hP57f8,a9a,5,0.001,1.0,1,1,4096,1,1,512,1.0677920576892523,0.9206310976213796
0827T154513Z_cxCt24,a9a,5,0.001,10.0,8,128,4096,1,1,512,4.092593158281568,1.1451013886529824
0827T160740Z_IE8wfF,a9a,0,0.001,1.0,2048,64,4096,1,1,512,0.5060858751926208,0.4858531553796749
0827T151525Z_JIS8gm,a9a,0,0.001,0.02,2,4,4096,1,1,512,0.3955662350727181,0.3955662350727181
0827T154026Z_FMwGHu,a9a,5,0.001,2.0,1,256,4096,1,1,512,2.2657639204056306,1.1451013886529824
0827T162202Z_OMzNQr,a9a,1,0.001,0.2,2048,256,4096,1,1,512,0.3409859850750806,0.3402954622332513
